"gid","mnum","sgg_oid","col_adm_se","ntfdate","alias","remark","geom"
52,"11920002824520220132UIE1000001002",2,"28245",NULL,"육상항만구역","경인항","0106000020421400000100000001030000000100000035000000267D3EC9AD95054128B12ECDF39B1B4123F6FC68509605410201E76BF79B1B412BBAC70AB5970541278A7E5AFF9B1B416B9340F4EA980541217ED23D069C1B414A3D32C7F298054139D60BF2049C1B416C0D55A20D9905417346497C009C1B4168EA79A80E990541BA797C2FFE9B1B418C66B9DD1C9905412F1541D0FB9B1B417CE74E2140990541B041F3EDF59B1B413D1D03EA0A9A054101DDE215D49B1B419BC9C935B39B0541FC003F25DA9B1B41397B3C9E289C054190554DD2DB9B1B41C4EB79A83B9C05410620EF17DC9B1B419584BD33CB9C0541449D5954E69B1B412B4D34F2C99C05415AD08C87E79B1B41511C2C46D49C05410FF13CFAE69B1B4198518A00E59C054150DA632BE89B1B4156F2239AB29F05419C48224BED9B1B41B1B419C3B39F0541E252F96EED9B1B4105312E718AA00541C8E76701EF9B1B41C29594D78CA00541EC990571DD9B1B413C1A2C4694A00541E7CE63ABA69B1B413A1E03EA99A005415E8F2E4D7D9B1B41DC132C4658A00541F2339F8A7C9B1B41CCBE48A0E19F05419BC68C877C9B1B4101DCCD8B249F054112CDE2957D9B1B41B7A3444A199F0541E46451A87B9B1B4161AD1BEE0D9F05414E98845B789B1B4145D24CF6E89E0541FCFA94336A9B1B414AFCD30CD79E0541E8F2E816679B1B41CEEFD1E1C19E0541376CD23D669B1B41572BDCB8B69D0541421F45A6659B1B4184CE4CF6A19D05414F982E4D649B1B41A8A71BEE929D054165BD344E629B1B413A3A34F2859D0541DEC70B72609B1B4146B448A05C9D05411E3D9F8A5A9B1B410FFF7F29409D05418BCA3679569B1B417BCB4CF6349D054182C4B563559B1B4162132E71269D0541600616C9549B1B415DC3CB60669C05415525702D559B1B41941A0515E69B0541ED82FF6F559B1B41724C63CF389A0541ADC7344E569B1B416AF654A2249A0541AF63F96E579B1B41F5623C9E059A05417F2C702D599B1B417908D862DB9905413402E996599B1B418BEDA885BF99054126A884DB599B1B419874BF5E9D9905418C9C82305A9B1B418A3C361D359905411756A1355B9B1B415056BB08EB9605416E942AF75C9B1B41012E8A0049960541EEDD0B725D9B1B41A921DCB8139605411E434751919B1B411B31096B0B960541396ECE67999B1B41267D3EC9AD95054128B12ECDF39B1B41"
38,"15000002620020080765UIE3000001007",92,"26200",NULL,NULL,"육상항만구역(부산항)","010600002042140000010000000103000000010000000D0000004C2588530EC31741E0EA2B3CA5950541A798CEFBC8C217418C3163D066950541D05401D1A5C2174180CFC6E543960541EF7C9DCD8EC2174160B66E519A960541BA09F9DF75C217415AFF449A1D970541828B07035DC217412A35340F7E9705414CAFDBFC47C21741628F79E8CE970541B61CEC8123C21741020F5C5877980541A02B8F94F3C11741DE82C4EB28990541EE9EC36901C21741F05AB5242299054101C429942EC217418A921AED7898054122AFBB859FC2174172D1D4CFFC9605414C2588530EC31741E0EA2B3CA5950541"
12,"15200005121020080765UIE3000001003",34,"51210",NULL,NULL,"속초항","0106000020421400000100000001030000000100000043000000277E9BF73EB7144154CBD88828F21F41967CD9D279B71441A4A52F330EF11F41D6B7D2DB78B714418327BDFCFCF01F411A038CBE2EB71441EAEC6BEAFEEF1F410A4198EE24B71441C86802D4CAEF1F41448469297AB514418261E0168DEF1F4177E298F983B51441C44083B6AFEF1F41566CAF90C4B414411D7D20747AEF1F41E7279F3F34B314411FD19BA8E6EE1F418CA4622A24B21441B158D71683EE1F413F82603260B1144121CD89453CEE1F41721B26CBABB01441FC40FF28FAED1F41527090729CB01441AE3916ED1FEE1F41D40D79AFC3B01441C940F4B52CEE1F41EE641766BFB01441A9D5686B38EE1F416847EA23B7B01441188300584FEE1F41B84E39E4D8B014415AF065D75AEE1F41201834F7E5B0144167FD862236EE1F41AC2180B6F4B014417569DE2F3AEE1F41EA12D41A15B21441589801F5B0EE1F416D26F73549B2144157357817C7EE1F4119B3E59066B21441C3B01E3DD3EE1F41D8A00BC960B31441F97E33C73AEF1F415CFD10C4CFB31441343683E96CEF1F41D4A0AC4BC8B31441FE38778B82EF1F4157F0CF09E4B31441676026038DEF1F41EEF9C93B73B41441A454150AC3EF1F410093D9227CB41441DDB810A1C6EF1F414022A148C9B41441DA74DA6FD5EF1F417B0D019ECDB4144160C29120D7EF1F410EFE3767D5B41441025C262ADAEF1F41E210585CD5B4144131717D88D4EF1F419AC3A139D5B41441011171F1C4EF1F410A39FCD8E1B41441F4B4CEF2C6EF1F4198367FD2F7B414415AD4B870CAEF1F4170E5737F0DB5144105E5B6E1CDEF1F4105C27FAE19B5144111D049D1CFEF1F41C2AC60C826B5144112F5B0E5D1EF1F410AA649CF4CB514419013CBEFD7EF1F4138AF8C505BB514416667213DDAEF1F417AA628C063B51441515188A6E6EF1F41BC65CFE261B51441F599CEC1ECEF1F41A860674360B51441D9725409F2EF1F4102BEA24458B5144154F9D5250CF01F41CE3FF4BF5FB5144174B8AE010FF01F41A0FF50DC72B514414AE4CCB116F01F41CF8DCB1279B514417A73A03219F01F41E4EF21A979B514414730508DF9EF1F418E735F5718B71441A29440133AF01F4106D6FCD221B714413173330F5CF01F4134CF89CA06B71441D9EFBB3258F01F4159E190E501B714411A9E14FA7BF01F41040CABF32CB714415707473181F01F4130D04FF34EB71441B891E84F85F01F41D0E628A345B71441E8E31790D3F01F41A2A34B5132B71441543434DE75F11F41D86EF2D941B714414AAA959877F11F4188390F6A3AB71441013EA1A998F11F417E4913B937B714414EB23A9FA4F11F4132FEACC430B71441A337CD8CC3F11F41A41379311DB714411DE136911AF21F417054FC3D0DB71441D8004FE313F21F4194F7B6B31DB7144178AD892761F21F415DC6238BE5B61441BF79E52864F21F41A400CD00D9B61441AF31CE9390F21F419616CB1811B7144100DC4CF295F21F41277E9BF73EB7144154CBD88828F21F41"
29,"15000002620020080765UIE3000009009",102,"26200",NULL,NULL,"육상항만구역(부산항)","01060000204214000001000000010300000001000000080000003230AFA8ACA51741C2A0C0DF61F605412470CCA848A61741F492134605F50541370E804823A617412C6C1D72DFF40541B2B6BE9ABAA517416842FE6E75F40541F8B8C5E714A51741E4E88D9CE9F505412AEBCA0B1EA417415473001BACF5054174490CC618A4174168FE5C8DFBF505413230AFA8ACA51741C2A0C0DF61F60541"
26,"15000002620020080765UIE3000010003",105,"26200",NULL,NULL,"육상항만구역(부산항)","01060000204214000001000000010300000001000000080000005A903594429617416AE3973D84E80541B7CE91C3DB961741041A83910CE80541E0C4611F2F971741440676C4C9E70541F0B748D02C971741C808438EBEE7054171539EFB459617415A45E48274E80541944C9B4BE19517412C8CDC405CE60541106ACCBCDB95174158048DDF60E605415A903594429617416AE3973D84E80541"
13,"15000004793000000000UIE2000000004",36,"47930",NULL,NULL,"후포항","01060000204214000001000000010300000001000000280000005E9B0CF835A019410A68E3505EBC1541C365450938A019417148412652BC1541A5AE380B6BA019410C9525120EBC154124BCDAA791A01941B07A80A6CFBB1541FCFE86A5B8A01941DA9B0DA46CBB154128CCD3D6C4A01941C852EF434CBB1541247AEFD4DBA019411268179820BB15415EB76DFDFEA019414B0F16C714BB1541260F9E5936A11941661B73E791BA1541207097DAD6A11941449B1D6E55BA1541EAAA8C13B2A219414CBE8D7503BA1541717CB7A15EA319419401FB65C4B91541E269D183ABA31941E4FE8977A8B915417C02C305B5A319418E09AA02A5B91541D47AF583CDA319416CDF241C9CB91541AD409DBAE2A319417CABEC6694B91541B827D5ED3AA4194162E3231074B91541D098CB2EACA4194114171B3C4AB9154174EAAD8AB4A4194134538D2647B91541A25C9DBBBDA419413016E58243B9154124A1BB981FA51941296039D71CB9154132F536B51CA519411818B4AA15B9154190EDFA8DE9A4194136C1173D04B91541C8A02F21E3A41941D05AC36C04B91541F644F63504A419411253212559B915419829FA7612A21941E20A3CEF15BA1541543B9928CEA119414330CBDE33BA154170569A229DA11941C00023E24BBA15418A7A2A465EA11941CB66A8B070BA154115BC5EFB28A11941A44A380296BA1541F298182FF9A019412031289CC0BA154122DB8D2CD9A019412F978B34E7BA15415EA00C50B3A01941B5D6DCAD18BB1541A1C761F0A2A019412EACEA3B32BB154153CB391C85A0194150FACDFB63BB15417EC3210B69A019418C7931459BBB1541D805745A3BA01941CAE4537101BC1541B6DA877D24A01941A55ED2A93ABC1541C316A62A18A0194143E523375FBC15415E9B0CF835A019410A68E3505EBC1541"
46,"11920002818520230049UIE6000001001",54,"28185","20230303",NULL,"남항 2단계 1종 항만배후단지","010600002042140000010000000103000000030000003700000068DFC9B3593C0441D91B0C19BE9E1A4100E0C9B3993D04418F8E1E1CBE9E1A413AD4F20F3555044148322D49BE9E1A41DC63B5053855044156322D49BE9E1A4174D4F20F4D5604417D7F394BBE9E1A41B263B50550560441A07F394BBE9E1A41B842059318680441709F0A6EBE9E1A41C31DFF110369044134EC1670BE9E1A416CA0BFDC03700441B4E2667DBE9E1A4172907FA79173044119990C1991931A41A3C6DF8CD1730441F4996227C8921A41561546F36174044172888B0302911A416620C9B393740441783EAA8865901A4177AD624DDF7404412A4B02C2778F1A411516A057F473044153F34923DF8E1A41510377FB7C700441E4C11AC69E8C1A415D88624DA56B0441674308C39E8C1A41E4004C747B650441A676E9BD9E8C1A4160C56C24236404414672E9BD9E8C1A41D8E4F10FA156044122D5ABB39E8C1A414B74B405505604413BD4ABB39E8C1A414474B40538550441A4ABA5B29E8C1A41CA74B40538550441ED869FB19E8C1A41566ADD61F95404410A869FB19E8C1A412EF0C8B3973D044190C861A79E8C1A4159F0C8B3973D0441BE594FA49E8C1A4123D143C8753C0441C1C461A79E8C1A411CF3C8B3753C0441A0B1B35FDB8C1A4149F7C8B35B3C0441A2B2B35F2B8D1A41E309C9B35B3C04412FCE61A7948E1A41241DC9B34B3C044160D561A7FE8F1A41C13EC9B34B3C0441619A802C8B921A419447C9B34B3C0441309E802C3F931A419C48C9B33B3C0441F09D802C4B931A415B49C9B33B3C0441799E802C5F931A41094AC9B34B3C0441E39E802C6B931A411D50C9B34B3C04416FA1802CEB931A41845BC9B34B3C0441413F1AC6BE941A41AB7AC9B34B3C04418986F9151A971A41937AC9B34B3C044121F50B191A971A415C7DC9B34B3C04410A9ED2E44E971A41C281C9B34B3C04412ED30518AA971A41518CC9B34B3C044189A3D2E466981A41BC91C9B34B3C0441773F6C7ED9981A419292C9B33B3C0441813F6C7EE5981A418A93C9B33B3C0441EF3F6C7EF9981A413494C9B34B3C04416B406C7E05991A410E9DC9B34B3C044124AAD2E4B5991A415BCFC9B34B3C0441AB9E4DF9869D1A4102D1C9B34B3C0441799F4DF9A99D1A416ADAC9B3593C0441C7B7FB40629E1A4154DCC9B3593C04414BB8FB40809E1A416EDDC9B3593C04419885C80D989E1A4146DFC9B3593C0441EA1B0C19BC9E1A4168DFC9B3593C0441D91B0C19BE9E1A41060000001465587621640441A2E0241D948E1A4116D69580CC58044149BB241D948E1A412AC19580CC580441AABDFBC0028D1A419431D38AF963044163E2FBC0028D1A41FE32D38A2164044170E3FBC0208D1A411465587621640441A2E0241D948E1A410A00000027D59580A86904416A636227948E1A41EE8DB4056C680441AFEE241D948E1A418046D38A9565044131E5241D948E1A41D732D38A9565044126E8FBC0208D1A418831D38ABD6504415EE8FBC0028D1A41399839F16B680441AE6139CB028D1A418AC09580F06A0441C56939CB028D1A41E68F624D456B0441B842DD3B2D8D1A41BAA1624D456B044132F8241D948E1A4127D59580A86904416A636227948E1A41"
63,"11920002826020220132UIE3000001006",58,"28260",NULL,"무역항","경인항","0106000020421400000200000001030000000100000007000000480DD662C3DD0441243814F3D9981B417B5161CFDCDE0441C088F798CE981B415F62B908EFDE04416CFD8A31D0981B4174ED5077E2DE0441A0D884B0C2981B41609CEE66D4DE04410F41169EAF981B41008EEC3B99DE0441265043D0A8981B41480DD662C3DD0441243814F3D9981B4101030000000100000006000000D2D2A004E6E104412AC9031BC3981B419AC248CB5BE2044178384125BC981B41C76E65255EE3044117B4ABE1AC981B41D25C387390E30441A009BA0E92981B410E4AB5B25BE2044176671ECAA3981B41D2D2A004E6E104412AC9031BC3981B41"
58,"11920002826020230049UIE6000001001",77,"28260","20230303","북항 항만배후단지",NULL,"0106000020421400000200000001030000000100000033000000A5553C4CE9220441120BE5EA32281B41C5831746E826044192C9863044281B41031DB1DF3E270441E4551E9F3D281B41BB5B11C58F270441FA3599B325281B41146F9485C82704418D12BE3927281B41FAA09C311E2804411603918729281B41B67C96B02A28044104D809712B281B4184EA7DAC5A28044134A601C532281B410C048202832804413E3F9BDE36281B4186D8795676290441A4C3B1374F281B412706D6E5DD2A0441FBAC2EF754281B413A10AD89552B0441531C6C814E281B418C2586588E2B044138EEB9E343281B4176120398B32B0441EC39F1EC3C281B41EB7213F0F42B0441C8AFAF8C2C281B41D6DFFAEB3C2C044161CB09712A281B418CFCFE41E72C0441B2A403703D281B415E8FECBE122D04417C2B1A4942281B41B583BF0C972D0441A858F7ED4C281B4160F3D18F302E04411155CCE64A281B418552B760832E044161DD0DC73F281B415E73925ACB2E04419C9201452F281B41CAE3CF64132F044141FCBDB927281B41EA5C8E046A2F0441009BD8E833281B412E0DAB5E9D2F0441E7359D094C281B417EF6A608C32F0441D212C20F57281B4178DDF695FE310441A95178036A281B414D36AFB48C3404413E0A43A56F281B414E80BBB6FF340441CAAEDEE96A281B41ED9069FE42350441E58482DA4E281B416DCF73D59E350441F760A7E04E281B416FAAC137C3350441C3B48A0683281B4191748CD951390441651CF3978D281B414DDCC7B8793A04416A2DA1DF92281B4120B9C1370E3B04412DEE968895281B41D440842D413B0441E0597E0460281B4101B096B0A63B0441456F57D35E281B41F1F47500D03B04419ADF945D99281B41A44959A62B3C0441A83C4FA79A281B41D2E8D3BA2D3C0441A910C810E5261B417AF6A508033C044142F7EEC1F6201B41192EB435FD3B04411F051CF429201B41FC66C8E3F03B0441A90EF317741E1B418088FD41EB3B0441426ED8E8AB1D1B41D909E993EA3B0441206ED8E8931D1B41942F70AAEE390441B00170578E1D1B41685E4DCFE2390441A3F798338E1D1B4148B765D3FA230441BBBF8485501D1B41B4B00FC50B2304415833C28F4D1D1B41EC6603C3EB220441B10C91874D1D1B41A5553C4CE9220441120BE5EA32281B410103000000010000002E00000054A4DA107C1E044184FEDEE9303A1B41C81EEFBE9B1E04418D8DA1DF2D3A1B4150C25FFCE91E0441F84A417A263A1B41817F036DC9310441B3B3B1B75D381B4168C6E4E773320441B684FF994D381B411699324A9332044138AB30A24A381B414AFF21F2CB310441A654F76DE3361B41F30DA5B2D4310441A5D9E23FCB361B41BCC16D29D5310441F9E70FF2C4361B4153AF15F0D3310441D69101C5B9361B4129D89C06D1310441812DC665AB361B419CA8EA68CC310441547F7E849B361B41896A0B19C631044116F2E69589361B4138B1171BBE310441AE81A90B75361B41DD5A5FFCB1310441FBBC88DB59361B4199903E4C9F310441957B28F633361B419AF5FAC08C3104412AB5DCBE10361B41B89BC10C86310441DCD3612A05361B41839AC10C813104414186FF99FD351B41A1EA792B76310441738C802FF0351B4128E3231D663104415D8A5528DE351B41AD67657D4D310441F819189EC2351B41107A13C53D310441A7FFE840B1351B4130373475143104414E0E16F384351B415E0682D7FB3004411A4C204A6A351B410C0682D7F8300441B014970867351B4179410D44DD30044148757C5935351B41F806301F903004416AE0384EED341B41D8899C06B8300441324AF542B1341B414CF58758453004418953A1DF0E341B41ED8B4823F72B04414F133F4FD2341B414A3DE4E77B290441870010F242351B41676B96857D290441699EFF1945351B4183CB7B566329044164E4B58D49351B4169B07700582904415F366E2C3A351B41D46E171B5B290441070BE79539351B41D062C78D8928044173F2B7B81E341B4168B07FACDB230441D89EA76046341B41B24F6F54912304419D9FA7E051341B4114819ADBFA1F0441E1EADC3EC3351B41399373AABD1F044157E1051BAB351B41F8B5CF39661F0441FF2B129D88351B4132DB00424A1F04414E05E1947D351B416E4F945A4B1F0441900FB8B87B351B419EA6CD0E1D1F04418B43EB6B7A351B4154A4DA107C1E044184FEDEE9303A1B41"
83,"11920002638020180027UIE3000000016",113,"26380",NULL,NULL,NULL,"010600002042140000010000000103000000010000000D000000D94BF311FC5717411EEFFECFD1450541C8452A7E63571741307D006F6A450541C8498BAE3C57174198F836B24C4605414EF5BAED1A571741A49A1F8B114705419A4DEA6C14571741F805CA623747054172B3C0D5D256174178F057A1B548054178F2B1F268561741D21E06901E4B0541C4FEDA19FF55174116D9137F874D05418C65585460551741585C12FA24510541BC61FD08F8551741760371718F5105417A4774399756174190A3DD37F04D05414015B1ECD4571741A2F0A580B5460541D94BF311FC5717411EEFFECFD1450541"
