항위치
name,x,y,sub
장목항,128.6815323,34.99045144,국가어항
오천항(전남),127.2103482,34.43260795,국가어항
송도항,126.2032163,35.04413788,국가어항
개야도항,126.5558306,36.03262792,국가어항
진두항,126.4998367,37.25599901,국가어항
소래포구항,126.7391672,37.3980408,국가어항
무창포항,126.5370377,36.24844646,국가어항
초평항,126.3371384,34.41253537,국가어항
여호항,127.4694926,34.66120051,국가어항
국동항,127.7215599,34.72665513,국가어항
풍남항,127.2446329,34.51879561,국가어항
회진항,126.9464399,34.48225044,국가어항
돌산항,127.7079857,34.60699168,국가어항
마량항,126.8159626,34.45241868,국가어항
녹동항,127.1349954,34.526871,국가어항
수품항,126.3055688,34.38048138,국가어항
어란진항,126.4750668,34.35091091,국가어항
발포항,127.3407352,34.48497113,국가어항
안도항,127.7974167,34.47734615,국가어항
낭도항,127.5408152,34.60224755,국가어항
연도항,127.7999513,34.42999599,국가어항
시산항,127.2613881,34.39450114,국가어항
초도항,127.2452363,34.23901042,국가어항
사동항,127.0769344,34.33546419,국가어항
당목항,126.94553,34.37894,국가어항
노량항,127.8632121,34.94789844,국가어항
물건항,128.0534352,34.79354678,국가어항
미조항,126.3598922,35.16869597,국가어항
도장항,127.0158937,34.36665499,국가어항
맥전포항,128.168456,34.90215933,국가어항
청산도항,126.8577638,34.17932127,국가어항
대포근포항,128.5857561,34.72048049,국가어항
다대다포항,128.628365,34.73230245,국가어항
여서항,126.921987,33.98591657,국가어항
구조라항,128.6953783,34.80403941,국가어항
소안항,126.6357175,34.14994648,국가어항
지세포항,128.708927,34.82857349,국가어항
가거도항,125.1142199,34.0663614,국가어항
능포항,128.7391532,34.88466645,국가어항
보옥항,126.5133131,34.12927043,국가어항
외포항,128.7176916,34.94097046,국가어항
이목항,126.57339,34.17574194,국가어항
원전항,128.6280669,35.06696943,국가어항
서거차항,125.9159486,34.25399078,국가어항
광암항,128.501282,35.1022101,국가어항
서망항,126.1368608,34.36600513,국가어항
삼덕항,128.3790004,34.79648532,국가어항
남포항,128.322569,34.95718002,국가어항
우이도항,125.9266585,34.75547782,국가어항
매물도항,128.5746329,34.64724352,국가어항
호두항,128.499706,34.7425365,국가어항
능양항,128.2406371,34.80868972,국가어항
욕지항,128.3059558,34.62149309,국가어항
신수항,128.074867,34.90392084,국가어항
천성항,128.8156651,35.02780656,국가어항
다대포항,128.9732452,35.05752347,국가어항
대변항,129.2351374,35.22104313,국가어항
전장포항,126.142223,35.13690843,국가어항
향화도항,126.3598922,35.16869597,국가어항
안마항,126.023605,35.34666192,국가어항
계마항,126.4038336,35.39446058,국가어항
홍원항,126.5027596,36.155176,국가어항
외연도항,126.082138,36.22573952,국가어항
오천항,126.521021,36.43788837,국가어항
남당항,126.4797237,36.53988502,국가어항
안흥항,126.1317015,36.68497201,국가어항
모항항,126.1362217,36.7777369,국가어항
영목항,126.3598922,35.16869597,국가어항
장고항,126.556569,37.02059063,국가어항
삼길포항,126.4462475,37.0066548,국가어항
구시포항,126.4411739,35.44938803,국가어항
격포항,126.4715585,35.62198147,국가어항
위도항,126.3056187,35.61878883,국가어항
방어진항,129.4314934,35.48262628,국가어항
말도항,126.3184753,35.85439929,국가어항
연도항,126.4416107,36.08047758,국가어항
어청도항,125.9779527,36.1221718,국가어항
김녕항,126.7402282,33.5580451,국가어항
위미항,126.6623803,33.27127547,국가어항
정자항,129.4511004,35.61435317,국가어항
모슬포항,126.2496709,33.21765613,국가어항
도두항,126.4665361,33.50614292,국가어항
신양항,126.3291175,33.94471622,국가어항
궁평항,126.6812748,37.11602908,국가어항
덕적도항,126.115941,37.25137515,국가어항
어유정항,126.3435416,37.64508796,국가어항
저동항,130.9059231,37.49454141,국가어항
남양항,130.8475718,37.47245244,국가어항
선진포항,124.7179501,37.82471151,국가어항
현포항,130.8379279,37.52890243,국가어항
읍천항,129.4756456,35.69718041,국가어항
감포항,129.5070296,35.80950804,국가어항
양포항,129.5203156,35.88191759,국가어항
호미곶항(2026예정),129.5696071,36.07652375,국가어항
구계항,129.3800969,36.32047487,국가어항
축산항,129.4479778,36.5073356,국가어항
대진항,129.4320319,36.5581093,국가어항
사동항,129.4464764,36.82424021,국가어항
오산항,129.4124759,36.88948864,국가어항
임원항,129.3443998,37.23000607,국가어항
장호항,129.3147344,37.28626213,국가어항
궁촌항,129.2675383,37.32526394,국가어항
덕산항,129.2533167,37.37733624,국가어항
금진항,129.0493029,37.65170862,국가어항
강릉항,128.9506712,37.76945835,국가어항
사천진항,128.8754287,37.83557309,국가어항
남애항,128.7854742,37.94231923,국가어항
수산항,128.6727538,38.07788698,국가어항
대포항,128.6091844,38.1758909,국가어항
아야진항,128.5559487,38.27479748,국가어항
공현진항,128.5107424,38.35476396,국가어항
거진항,128.4562751,38.44692772,국가어항
대진항,128.4246254,38.49995761,국가어항
죽변항,129.4247811,37.05770272,국가어항
구산항,129.4719,36.761,국가어항
대항항,128.83,35.01,지방어항
신암항,129.23,35.22,지방어항
두호항,129.25,35.24,지방어항
동백항,129.26,35.29,지방어항
칠암항,129.26,35.3,지방어항
이동항,129.24,35.27,지방어항
학리항,129.24,35.26,지방어항
월내항,129.28,35.33,지방어항
민락항,129.13,35.15,지방어항
하리항,129.08,39.07,지방어항
